2024-03-30 07:41:33,833 INFO    StreamThr :268 [internal.py:wandb_internal():86] W&B internal server running at pid: 268, started at: 2024-03-30 07:41:33.832676
2024-03-30 07:41:33,834 DEBUG   HandlerThread:268 [handler.py:handle_request():146] handle_request: status
2024-03-30 07:41:33,837 INFO    WriterThread:268 [datastore.py:open_for_write():87] open: /home/studio-lab-user/sagemaker-studiolab-notebooks/AdaViT/wandb/run-20240330_074133-nrn5ix65/run-nrn5ix65.wandb
2024-03-30 07:41:33,838 DEBUG   SenderThread:268 [sender.py:send():379] send: header
2024-03-30 07:41:33,853 DEBUG   SenderThread:268 [sender.py:send():379] send: run
2024-03-30 07:41:34,070 INFO    SenderThread:268 [dir_watcher.py:__init__():211] watching files in: /home/studio-lab-user/sagemaker-studiolab-notebooks/AdaViT/wandb/run-20240330_074133-nrn5ix65/files
2024-03-30 07:41:34,070 INFO    SenderThread:268 [sender.py:_start_run_threads():1124] run started: nrn5ix65 with start time 1711784493.832741
2024-03-30 07:41:34,080 DEBUG   HandlerThread:268 [handler.py:handle_request():146] handle_request: check_version
2024-03-30 07:41:34,080 DEBUG   SenderThread:268 [sender.py:send_request():406] send_request: check_version
2024-03-30 07:41:34,127 DEBUG   HandlerThread:268 [handler.py:handle_request():146] handle_request: run_start
2024-03-30 07:41:35,975 DEBUG   HandlerThread:268 [system_info.py:__init__():26] System info init
2024-03-30 07:41:35,975 DEBUG   HandlerThread:268 [system_info.py:__init__():41] System info init done
2024-03-30 07:41:35,975 INFO    HandlerThread:268 [system_monitor.py:start():194] Starting system monitor
2024-03-30 07:41:35,975 INFO    SystemMonitor:268 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-30 07:41:35,975 INFO    HandlerThread:268 [system_monitor.py:probe():214] Collecting system info
2024-03-30 07:41:35,975 INFO    SystemMonitor:268 [interfaces.py:start():190] Started cpu monitoring
2024-03-30 07:41:35,976 INFO    SystemMonitor:268 [interfaces.py:start():190] Started disk monitoring
2024-03-30 07:41:35,977 INFO    SystemMonitor:268 [interfaces.py:start():190] Started gpu monitoring
2024-03-30 07:41:35,978 INFO    SystemMonitor:268 [interfaces.py:start():190] Started memory monitoring
2024-03-30 07:41:35,979 INFO    SystemMonitor:268 [interfaces.py:start():190] Started network monitoring
2024-03-30 07:41:36,001 DEBUG   HandlerThread:268 [system_info.py:probe():150] Probing system
