2024-04-25 17:02:22,645 INFO    StreamThr :3847 [internal.py:wandb_internal():86] W&B internal server running at pid: 3847, started at: 2024-04-25 17:02:22.645263
2024-04-25 17:02:22,647 DEBUG   HandlerThread:3847 [handler.py:handle_request():146] handle_request: status
2024-04-25 17:02:22,653 INFO    WriterThread:3847 [datastore.py:open_for_write():85] open: /home/studio-lab-user/sagemaker-studiolab-notebooks/AdaViT/AdaViT/runs/2024-04-25-17-02-21/wandb/run-20240425_170222-54bnn926/run-54bnn926.wandb
2024-04-25 17:02:22,654 DEBUG   SenderThread:3847 [sender.py:send():382] send: header
2024-04-25 17:02:22,671 DEBUG   SenderThread:3847 [sender.py:send():382] send: run
2024-04-25 17:02:22,864 INFO    SenderThread:3847 [dir_watcher.py:__init__():211] watching files in: /home/studio-lab-user/sagemaker-studiolab-notebooks/AdaViT/AdaViT/runs/2024-04-25-17-02-21/wandb/run-20240425_170222-54bnn926/files
2024-04-25 17:02:22,864 INFO    SenderThread:3847 [sender.py:_start_run_threads():1136] run started: 54bnn926 with start time 1714064542.643749
2024-04-25 17:02:22,874 DEBUG   HandlerThread:3847 [handler.py:handle_request():146] handle_request: check_version
2024-04-25 17:02:22,874 DEBUG   SenderThread:3847 [sender.py:send_request():409] send_request: check_version
2024-04-25 17:02:22,919 DEBUG   HandlerThread:3847 [handler.py:handle_request():146] handle_request: run_start
2024-04-25 17:02:24,764 DEBUG   HandlerThread:3847 [system_info.py:__init__():32] System info init
2024-04-25 17:02:24,764 DEBUG   HandlerThread:3847 [system_info.py:__init__():47] System info init done
2024-04-25 17:02:24,764 INFO    HandlerThread:3847 [system_monitor.py:start():194] Starting system monitor
2024-04-25 17:02:24,764 INFO    SystemMonitor:3847 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-25 17:02:24,764 INFO    HandlerThread:3847 [system_monitor.py:probe():214] Collecting system info
2024-04-25 17:02:24,765 INFO    SystemMonitor:3847 [interfaces.py:start():190] Started cpu monitoring
